Название,Автор,Описание
"Агенты ""Стилет"". Том 3",Евгений Бергер,"Итак, главный вопрос - что такое Семен? И знает ли он сам о своем истинном происхождении?"
Бета ридер - супергерой автора,Eleonora Redactor,"Это живая книга общения авторов, редакторов, бета ридеров.Здесь Вы можете почерпнуть полезную информацию,пообщаться,получить помощь и ответы на вопросы.Я поделюсь своим опытом редактора и постараюсь ответить на Ваши вопросы."
"Стрела, монета, искра",Norman,"Полари – мир фантастического средневековья. Суровые и жестокие нравы здесь соседствуют с диковинными ростками будущего, мечи и арбалеты – с первыми электростанциями и железными дорогами. Император Адриан ведет государство нелегким путем реформ и прогресса. Могущественные феодалы плетут изощренные интриги, поднимают мятежи в борьбе за власть. Церковь также пользуется огромным влиянием, ведь в мире Полари никто не сомневается в существовании богов. Боги не стоят в стороне: они шлют людям дары – непостижимые Священные Предметы. Писание гласит: в Предметах таится великая сила, способная исцелять болезни, управлять стихиями, разрушать преграды. Секрет этой силы утерян много веков назад…"
"Итрим 2.02 ""Свободные Земли""",Дмитрий Колотилин,"Истина ""Зарекалась свинья в грязь не лезть"" вечна. Нельзя до конца бросить пить, курить или что похуже. Так же невозможно перестать быть геймером. Даже если ты можешь себе позволить что угодно, себя пересилить не сумеешь, как любой другой больной каким-либо увлечением или пагубной привычкой.Виртуальная вселенная Итрим стала не просто способом заработка, это уже давно для многих смысл жизни. Люди уже не живут в реале, но существуют, стремясь вернуться в игру, для чего тратят всё больше и больше. И мало, кто по-настоящему уходит из игры, напротив, появление новой огромной территории со славянским антуражем увеличили приток пользователей из стран бывшего СССР. Но удержится ли мир, и так ли прекрасны новые территории?"
Прогулки с дочерью по нарисованному парку.Часть 1. Нарисованный парк.,Дмитрий Евгеничев,"Литрпг. И этим сказано почти все. Почти. Никаких «сверхзадач» по «спасению мира» у  ГГ нет. Обычный человек в одной из виртуальных игр со стандартными эльфами, демонами и.т.д., и т.п.  Он живет своей жизнью, игра живет своей. Временами они пересекаются. И тогда…"
Владыка Восточного архипелага,Санфиров Александр Юрьевич,"Планета островов и архипелагов, пронизанных, как сыр, путями Древних. Магическое средневековье, в которое попадает наш человек. Чудом он остается жив, попав к местным папуасам. Но на этом его приключения не заканчиваются его ждет остров Картенариву, и дальнейшие приключения."
Воин Забвения. Отравленный исток,Елена Счастная,"Дороги разводят Младу и Кирилла в разные стороны, но цель их одна - справиться с могущественным Воином Забвения Корибутом. Чтобы спасти свою жизнь и помочь князю, Млада вынуждена бежать из Кирията вместе с жрецом Зореном и сестрой. А помогать им вызывается верег Хальвдан. Они отправляются в далёкий Ариван к Мастеру Гильдии. А Кирилл, вняв совету мудрого воеводы, пытается выяснить, почему древнее колдовство угрожает ему и народу княжества. Где находится отравленный исток, из которого выплеснулась река, что своим ядом грозит погубить много жизней? И как победить в схватке с Воином, не потеряв себя и тех, кто дорог?"
Теплая птица,Василий Гавриленко,"Теплая Птица живет в каждом из нас. Ее невозможно убить. Ее не убьет даже огненный смерч Апокалипсиса, не убьет эпидемия, не убьет то, что на твоих глазах большинство людей стали ЗВЕРЯМИ. Пока жива хотя бы одна Теплая Птица, у ЧЕЛОВЕКА есть шанс. Потому что Теплая Птица – это желание любить и быть любимым.Чтобы выжить в жестоком постапокалиптическом мире, Андрей Островцев стал настоящим зверем - сильным, осторожным и коварным. Встреча с Теплой Птицей все изменила - человеческий облик начал возвращаться к Андрею. Но сможет ли человек выжить в аду?"
Метаморф 2. Горячие южные ночи.,Karos,"Дороги судьбы извилисты, вот и Макс узнал эту житейскую истину на себе. Королевский бал закончился, и парень очнулся в клетке, на полпути к Сулему. Новая игрушка едет к халифу, только вот кто станет игрушкой халиф или рыжая девчонка. В этой книге, вас ждут горячие пески пустынь Сулема. Знойные красотки гарема халифа, немного Магии и звёздных технологий."
Кодекс защитника,Эдуард Евгеньевич Семенов,Самый счастливый сценарий развития будущего.
"Мы свой, мы новый...",Суламен,"Здесь не будет пафосных превозмоганий - буду простые превозмогания в рабочем порядке. Здесь не будет приключений - будут будни постройки новой жизни.Стая должна жить, а не просто выживать."
Проклятый Род,Юджин Сапфир,"2073 год. Этот мир больше не принадлежит людям, он стал обителью монстров. Влад Самойлов родился и вырос в новом мире, созданном на руинах старого, и пытается следовать его жестоким, суровым законам, невзирая на горечь и утраты, переполняющие его жизненный путь. Его сны полны загадочных видений о смерти и чудовищах, в них он беседует с висельником, которым является сам. Что это: предупреждения? пророчества? Сможет ли Влад разобраться в этом?"
Приказано выжить 2,Малыгин Владимир Владиславович,"Удалось избежать проклятия рода Рюриковичей. Братоубийства не случилось, и теперь развитие княжества, а, значит, и  истории пойдёт совсем по другому пути"
Волхвы скрытной управы. Щит,Виктор Гвор,Все пишут за попаданцев. А мы чем хуже? Но пускать на самотек не желаем. А потому 16 лет готовим полсотни с хвостиком рыл и пускаем на помощь князю Игорю.
Легенда о Вращающемся Замке,Анатолий Бочаров,"Сердце страны Эринланд - Вращающийся Замок, воздвигнутый чародеями древности. По легенде, владеющий этим замком обретет власть над всем миром. Именно сюда попадает юноша по имени Дэрри Брейсвер, поступив на службу к загадочному рыцарю Гэрису Фостеру. Он видит, как кровопролитная война сотрясает рубежи Эринланда, грозя гибелью королевству. Между тем волшебница, именуемая Повелительницей чар, решила подчинить себе магию Вращающегося Замка. Только Дэрри сможет ей помешать."
Боги не играют по правилам,Андрей Акулов,"Все началось с рекламы: «Вы хотите поучаствовать в новом проекте – виртуальной реальности полного погружения? Заполните анкету, и если вам повезет, мы совершенно бесплатно вышлем вам дорогостоящее устройство для входа в волшебный мир. От вас требуется только играть. Насладитесь новой жизнью!» И мне повезло! Но они соврали. За все надо платить."
